model_id,model,estimated_capability
61,Mixtral-8x7B-Instruct-v0.1,"[-2.5997858, -0.28967065, -0.93907887, 1.3625528, 0.87379646, -1.0349306, 0.7868902, 0.31086478, -4.540785, -1.7908777, 0.2240648, 1.3120657, 0.7749952, -0.8590746, -0.16828327, 1.0209714, -0.5489226, 0.7497184, -0.48224905, 1.0546902, -0.16782637, 0.009119055, 1.3623283, -0.4032725, -0.053108413, 0.086779624, 0.34410053, -0.29343626, 0.5981033, 0.123422205]"
62,Mixtral-8x7B-v0.1,"[-1.3326766, -0.11189048, 0.026164426, 1.0293431, -0.3044637, -0.38291484, 0.02998305, -4.483925, -1.6096612, -1.7565043, -0.15579097, -0.3604094, 0.41706234, -3.7513127, 0.26260704, -0.11363633, -0.044234518, 0.87247986, 0.67580855, 0.5009887, -1.1441867, -0.5750555, 0.033533815, 0.017983384, 1.2976888, -0.76905125, 0.00822016, -0.32036874, 0.3450526, 0.079434454]"
63,Phi-3-medium-128k-instruct,"[-2.436886, -0.46043706, -0.27614468, 6.0787673, 0.30488646, -0.17623383, 0.4695355, 0.6894774, -1.4726317, -1.0950022, -0.60445905, -0.35844555, 0.35388148, -0.91280097, 0.44991866, 0.28107426, 0.08170869, -0.2828613, -0.036776204, 1.0953108, -0.27825734, 0.48106834, 0.11938908, -0.8121267, 0.8308615, -0.03671359, -1.4794154, -0.30701724, 0.8627762, 0.26681104]"
64,Phi-3-mini-4k-instruct,"[-1.141205, 0.02516182, -0.36504915, 1.0601773, 0.16699347, 0.06658248, 0.25522923, -0.48904818, -2.0802548, -0.51258785, 0.15010941, 0.5592686, 0.3863304, 0.9207844, -0.13395277, -0.9897211, 0.030807957, 0.29167098, -0.34879595, -0.14075488, -1.1487551, 0.21047401, -0.017094746, 0.13422453, 1.8786919, 3.9626145, -0.08579015, 0.18002303, 0.13947736, -0.2927122]"
65,Phi-3-small-8k-instruct,"[0.52133924, 0.05289174, -0.43712008, 0.9310747, -1.7491103, 0.7209951, 0.8870511, 0.017537117, -2.0933027, -1.4533764, -0.24370106, -0.49101382, -0.7278145, -1.2221143, 0.1555331, -0.1793378, -0.014166271, -0.118127264, 0.43659735, 0.08868825, -0.60164744, -0.15417188, 0.45695537, 0.16946909, 1.4627881, 0.35821995, -0.08594674, 2.0898492, -0.26912284, 1.1363126]"
66,Phi-3.5-MoE-instruct,"[-1.8694046, -0.09004847, -0.0786412, 0.47891605, 0.108489364, -0.29841426, -0.06733198, 0.28643966, -1.369088, -1.4015211, -0.33699843, 0.07688647, 0.115144506, -0.18387835, 0.2433419, 0.34322783, 0.05132795, 0.16573232, 0.01485574, -0.32642996, 13.029568, 0.30016595, -0.30642477, 0.18437433, 0.14658143, 0.07421068, -0.40290833, -0.047277037, -0.254457, 0.22510551]"
67,Phi-3.5-mini-instruct,"[-1.9258711, -0.26725623, -0.26691812, 0.66473585, 0.4466013, -0.056518912, -0.16444263, -0.23420998, -1.4003395, -1.3461248, -0.1251622, -0.13566495, 0.10117029, 0.11922693, 0.039923582, 0.047982115, -0.050369065, -0.20439582, -0.13370608, -0.24957505, -0.14572093, 0.028614422, -13.662298, -0.2350281, -0.14814422, 0.039938793, -0.2976761, -0.3226856, 0.36464065, -0.056958184]"
68,Phi-4-mini-instruct,"[-1.7165002, -0.26396474, -0.22328253, -0.011399563, -9.055945, -0.13338983, -0.34721276, -0.15170486, -2.9941509, -1.2801772, 0.24778756, 0.29767257, 0.10298158, -0.052460276, 0.1271484, 0.07521444, -0.22447377, 0.5249365, 0.035536304, 0.38145158, -0.09350164, 0.18757437, -0.035907853, -0.011179685, 0.029671682, -0.22408822, -0.39829636, 0.09120576, -0.14725445, 0.23250581]"
69,QwQ-32B,"[1.5837841, -0.27132854, 0.1564028, 0.93414485, 0.20697397, 0.54002374, 0.09171356, -0.14351496, 1.032904, 1.0612491, -0.29432982, 0.15539129, -0.03714962, -0.3003354, 0.124913484, 8.788071, -0.381991, 0.063267276, -0.50805134, -0.13536544, 0.2645996, 0.15509951, 0.068591624, 0.38199908, 0.13060649, -0.4163779, 0.01718646, -1.1700952, -0.3235156, 0.06228299]"
70,Qwen1.5-1.8B,"[-0.07575377, -0.10341711, 0.21411361, 0.3395589, 0.5318539, -0.72026974, -0.5464718, -0.068312645, -1.0556209, -1.4709344, -0.31760672, -0.0003230633, -0.6249129, 1.986391, 0.08198558, -1.2467358, -0.46777642, -0.35474196, 1.4724585, -0.5469187, -3.550421, 1.2469771, 0.6982168, -0.10524031, -0.38941583, 0.054675754, -0.6323371, -1.1671157, 0.055950537, -0.25887913]"
71,Qwen1.5-110B,"[0.6438255, 0.10494058, 0.24167019, 0.41202444, -0.18679155, 1.148285, -0.34030974, 0.21151827, -2.082656, -0.9045089, -0.31198785, 0.46931598, 0.3342498, -0.60604674, -0.28295547, -0.14425854, -7.444975, 0.11570823, -0.081331685, -0.24842273, -0.33830905, 0.122170344, -0.12791772, 0.35483944, 0.19548671, 0.008474377, -0.23310687, -0.39322212, 0.14999026, 0.9849125]"
72,Qwen1.5-72B,"[0.77783453, 0.12272853, -5.9545703, 0.1848361, 0.344676, -0.18404305, 0.23231056, 0.24378379, -1.1471016, -1.4053175, -0.15300989, 0.12853338, 0.19061956, -0.10814001, 0.0051473714, 0.45810458, 0.2383418, 0.014728343, -0.0024783877, -0.32584083, -0.75332147, 0.25795403, 0.40688768, -0.20915127, 0.578725, 0.03047612, -0.009948199, 0.079343565, -0.6802015, -0.23781615]"
73,Qwen1.5-7B,"[-0.48203534, 0.019616254, -0.42666543, 0.10045784, 0.48644152, -0.2876009, -0.7140155, -0.30826917, -1.7506876, -1.9154755, 0.4750393, -0.111243956, 0.28253883, -0.5233731, 0.45776397, -0.16949606, -0.070265144, -0.17557365, -0.061816666, 0.46048138, -1.8803886, 0.2829593, 0.6211392, 0.49182314, 0.4746318, -0.20252351, -0.33905038, -5.182554, -0.3644238, -0.026191462]"
74,Qwen2-0.5B,"[-0.7345867, -0.52639484, -0.20895222, -0.36164355, -0.41989416, -0.7829468, 1.3970273, 0.107603975, 0.5406667, -2.7969391, -0.07073812, 0.26084125, -0.4240265, -1.5005325, 0.29389253, -0.32610157, 0.0069339066, -0.29368484, -0.2803976, 2.8656917, -3.1929123, -0.24694607, 0.2642615, 0.67427254, 0.39877138, -0.10967775, -0.4649311, 0.29892713, 0.036158793, -0.08917603]"
75,Qwen2-0.5B-Instruct,"[-2.7603915, 0.38937986, -0.77781504, -2.378792, -0.0078109154, 0.50755244, 1.4878802, 0.3912974, -0.52996963, -3.5010962, -0.17480385, 0.08371661, 0.1000515, 0.08967102, 0.41262245, -0.20447366, 0.39798236, -5.150419, -0.77035725, -0.38837296, -1.8600909, -0.05794954, 0.1237459, -0.40836698, -0.353402, 0.059497006, 0.36409834, -0.026410699, -0.14655112, -0.9825189]"
76,Qwen2-1.5B,"[-0.56040454, -0.7525322, 0.11492394, 0.32625178, 0.31344932, 0.044056986, -0.35477704, 0.014313821, -1.4667981, -1.9082124, 4.2664824, 0.07776417, 0.85310966, 1.4306872, 0.19766776, -0.1494958, -0.40087083, 0.5445937, 0.06890131, 0.08897455, -2.091331, 0.41881156, -0.13996044, 0.6811491, -0.52817464, 0.5796446, 0.49948326, 0.30736664, 0.08847492, -0.10077071]"
77,Qwen2-1.5B-Instruct,"[-2.4264548, -0.4952677, -0.37508905, -0.3520057, 0.87007636, 0.22545177, -0.9730682, 0.16184232, -2.1570675, -1.5192841, -1.3742638, -0.49961126, -0.48114344, 0.41354102, 1.0530795, -0.7374448, -0.30192977, -3.8045652, 0.018249933, -0.21833648, -1.4816793, -0.4895715, 0.28349453, -0.41398498, -1.0956335, -0.25370246, -0.10082604, 0.093109146, -0.56627625, 1.1086816]"
78,Qwen2-57B-A14B,"[0.8737431, -0.4606055, -0.34265614, -0.33163956, -0.11449837, -0.6015978, 1.5277101, 1.0992242, -3.746038, -1.048338, -0.07108286, -0.22149926, 1.0987715, -0.055510804, 0.9389478, 0.11653037, -0.031754993, -0.25139102, -0.050742086, 0.14624415, -0.58393174, 0.27234393, -0.19113636, -3.9047587, 0.16273533, -0.13755834, 0.35659018, -0.5462839, 0.44467387, -0.53588927]"
79,Qwen2-57BA14B-Instruct,"[-1.5567895, -0.75260395, -0.1753741, -8.045, 0.6834844, 0.08235484, -1.0390486, 0.51133233, -0.17120206, -1.4271796, 0.7523024, 0.7664769, 0.74315584, -0.62484026, 0.094990864, -0.64910424, -0.87405187, 1.018645, -0.20694308, -0.473432, 1.9191579, 0.043703374, 0.065043606, -0.03780656, 0.47274897, 0.46713507, -0.474227, 0.49825913, -0.5648285, -0.38858208]"
80,Qwen2-72B,"[3.520349, -0.063993745, 0.08327586, 0.5790643, 0.45617002, -0.5275156, 0.1984164, -0.77091175, -1.9025308, -0.55930483, 0.18857136, 0.7986207, -0.082148485, -0.5400597, -0.6395897, -0.37658203, -0.43739754, 0.40972295, 0.515852, 0.40289915, -0.48146647, 4.6249804, -1.0479095, -0.01042037, 0.24096994, 0.30103832, -0.36257395, 0.2907251, 0.3485568, 0.02735626]"
81,Qwen2-7B,"[0.6887759, -0.07366275, 0.041395236, 0.30165312, 0.4848121, -0.25269577, -0.72400904, 0.023173187, -1.3887115, -0.68992716, 0.5785141, -0.13022462, 0.10325295, 0.5906284, 0.6544023, 0.20568244, 0.16100225, 0.6609723, 0.4730436, -0.18743087, -1.1386687, -8.256857, 0.5190289, -0.5268815, -0.32181495, 0.45941246, -0.067223035, -0.011081272, 0.27299652, -0.22083923]"
82,Qwen2.5-0.5B,"[-0.79154575, -2.678301, 0.34026805, -0.89391214, -1.5029846, 0.2554214, 0.08681383, -0.07699148, 1.3969169, -2.8520498, 0.2986682, 0.1172577, -0.08363983, 0.22619717, 0.58687747, -0.49103492, -0.20132308, 0.2928354, -0.10174334, -0.20411956, -2.7013996, -0.109813824, 0.50923985, 0.19742025, 0.6462436, 0.045160446, -0.031574547, -0.4962375, -0.04548472, 0.33535227]"
83,Qwen2.5-0.5B-Instruct,"[0.03857881, -0.19540934, -0.74641955, -10.431612, -0.844218, -0.19587119, -0.7363476, -0.22466888, -2.9066439, -1.4448224, -0.20610957, 0.10762457, 0.24675982, 0.35238928, 0.80434364, 0.20647474, -0.47712067, -0.8844951, 0.48658538, -0.07356231, -2.216063, -0.39043656, -0.25685206, -0.4825688, 0.123145804, 0.1789485, 0.068633914, -0.017458992, -0.1510046, 0.041854527]"
84,Qwen2.5-1.5B,"[0.028390294, -0.25497788, 0.31945178, -0.5509171, 0.5103911, 0.39072266, -0.5616998, 0.14006636, -1.7442166, -1.7874941, -0.16747345, 0.38561743, -0.050171178, 0.040277902, -0.0526365, -0.1989512, -0.35472113, 0.34392494, 0.03438909, 0.38723552, -1.5057455, -0.16497536, -0.25628555, 0.49452633, -0.14632651, -0.116966225, 6.50363, 0.07216358, -0.130075, 0.37889567]"
85,Qwen2.5-1.5B-Instruct,"[-2.0250535, -0.20243497, 3.2478933, 0.14716934, 0.16194929, -0.5883783, 0.11457184, 0.21912329, -3.902058, -2.0239751, -0.077955134, 0.896683, 0.8076271, -0.107425265, -0.39343292, -0.15942357, 0.065659456, 0.20623451, 0.3018281, 1.1875707, 0.43180332, 0.09190621, 0.10570752, 0.1097727, -0.107788764, -0.25193986, -0.050304987, -0.80360997, 0.12413415, -1.4449533]"
86,Qwen2.5-14B,"[-2.3820052, -1.0603145, -0.105587535, -0.22161052, -0.29791355, 0.07434761, 0.06188404, 1.544723, -0.37697482, -0.5877499, -0.14181173, -0.61837333, 0.3893425, 1.1041846, 0.36965412, 0.4604209, 0.06686383, -0.27004322, -0.6669071, 0.061113037, 0.2432863, 0.217387, 0.99939984, 0.68725526, -1.2172353, -0.38395572, 0.95828885, -0.331736, -2.0813594, 0.34191462]"
87,Qwen2.5-32B,"[0.80887896, -0.7461219, 0.927835, -0.1125557, 0.3716363, 0.2582973, 0.80299914, -0.121962, -0.21842909, -0.80298257, 3.2250917, -0.20067252, -0.5138635, -0.24931127, 0.7541539, 0.5446681, -1.4942832, 0.3527568, -0.28442433, -0.619895, 0.23535056, 0.31861854, -0.4279997, -0.7572894, 0.24121006, 0.1536263, 0.018642198, -0.20687947, 0.3625773, 1.3280357]"
88,Qwen2.5-3B,"[1.3066319, 0.062932864, -0.157941, 0.3104484, -0.45496827, 0.9963576, -0.48363647, -0.5597179, -0.6260763, -1.5007758, -0.117825404, -0.13688642, 0.16356736, -0.7714362, -1.0661035, 0.011839446, 0.0450076, -4.272482, 0.084091485, 0.75483894, -1.5339698, 0.22986378, -0.16031726, 0.081581414, -0.51801366, 0.1517394, -0.08552733, -1.0374523, 0.038260285, -0.14222765]"
89,Qwen2.5-3B-Instruct,"[-1.4713863, 0.0770783, -0.5220235, 0.8318542, 0.81371224, -0.031696495, 12.00965, -0.23882087, -4.2731915, -1.0795485, 0.2725313, -0.37312472, -0.32693386, -1.0571791, 0.0951767, -0.29939637, 0.040578093, -0.5356033, 0.38973138, -0.45047626, 0.22004853, 0.1262462, -0.22848344, -0.1374205, 0.28405753, 0.7947898, -0.8953274, 0.1382947, 0.54910904, -0.072073296]"
90,Qwen2.5-72B,"[-1.3790187, -0.21168645, 0.59426975, 0.5916401, 0.37369615, 0.6514083, -0.14847593, 0.7996503, 8.434353, -0.5029543, 0.2654503, 0.06792441, 0.013945903, -0.43826273, -0.30744705, 0.051830783, -0.09303595, 0.12141211, 0.21376109, 0.10890469, -0.029817306, -1.6908369, -0.31063354, 0.0064422567, -0.603909, -0.14808302, -0.64000934, -0.22439533, 0.48872018, 0.011832077]"
91,Qwen2.5-7B,"[-0.08754829, 0.07231163, 0.09046866, -0.039404973, 0.127505, 0.19973376, 0.21990211, 0.055333894, -0.65103835, -1.0802275, -0.073265366, 0.02702748, 0.37103742, 0.05812875, 0.10889365, -0.110973306, 0.14821243, 0.09302861, 0.020108879, -0.16882423, -0.43311337, -0.0018128117, 0.318833, 0.097109735, 0.20647502, 0.013439159, -0.090252586, 10.473791, -0.09950645, 0.111460835]"
92,Qwen2.5-Coder-32B-Instruct,"[0.0007863035, -0.028330434, 0.13718976, -0.009399204, -0.5895869, -0.2871424, 2.2090085, 0.0318578, -2.5638535, 0.34202355, -0.04819392, 0.43773425, 2.1482058, -0.864388, 0.7050082, 0.44551474, -0.00975193, -0.29667217, 0.6506215, -0.22279821, 0.5130818, -0.33617786, 0.5976082, -0.6568816, 2.0867102, 0.19804479, 0.5460971, 0.36978212, 0.15323913, 0.08094009]"
93,Qwen2.5-Coder-7B-Instruct,"[-0.03762335, 0.09094533, 0.45133823, -1.0164137, 0.22213401, 1.1709815, 1.1928335, -0.28360587, -3.7716174, -0.9458543, -0.1279584, 1.4063013, 1.7201722, 0.8565534, -0.30485046, -0.17596616, -0.42685378, 2.1188068, 0.10035451, -1.0317101, 0.48505595, 0.52779686, -1.6844, 0.87461466, 0.8351208, 0.13540749, 0.97790104, -0.69794554, -0.05494542, 1.3823265]"
94,Qwen2.5-Omni-7B,"[0.9649512, 0.08667245, 0.61298734, -0.37838945, -0.24533847, 0.16004483, -2.2435536, -0.8935633, -3.7487817, 0.63918245, -1.527237, 0.9967036, -0.27336097, -0.55070066, -0.27127787, -0.078154214, 0.11920753, -0.22718611, 0.60503227, -0.22392944, 0.039097294, 0.22637106, -0.21347563, -0.5529032, 0.51052123, 2.0423386, 0.61191064, -0.51564914, -0.3963494, 0.4671898]"
95,Qwen2.5-Plus,"[0.14810805, 0.23593985, -0.011731517, 0.21264935, 0.50730175, -0.24295998, -0.28334177, -0.6782061, 0.66524494, -0.2936846, 0.2201004, 0.93887264, 0.120485, -0.5598781, -0.2916704, 0.62381536, -0.49063617, 0.5845314, -0.31002498, -0.31209216, -0.27065656, -0.6761681, 0.24136025, 3.6524217, -0.184178, 0.12909544, 0.4036345, -0.22899736, 0.6808994, -0.06855011]"
96,Qwen2.5-Plus-Instruct,"[-1.0350065, 0.12609898, 8.117953, -0.2793413, -0.28399587, -0.100149676, -0.3772447, 0.4378807, -1.1387696, 1.438853, 0.13433181, -0.159455, -0.18692489, -0.14132184, 0.24525864, 0.022072146, -0.027802628, 0.2517378, -0.0148889255, -0.18242282, 0.37054312, 0.27521914, 0.16742781, -0.08490862, -0.6725238, -0.33671385, -0.07367202, -0.14202307, 0.26710182, 0.3752059]"
97,Qwen2.5-Turbo,"[0.051307682, -0.16437088, 0.2632778, 0.50350845, 8.236513, -0.50579125, -0.47109324, 0.20368402, -0.8765076, -0.5504337, 0.51233417, -0.11456801, -0.07911525, 0.13369748, 0.2641543, -0.42850313, 0.06887359, 0.32849714, -0.22696747, 0.2468857, -0.5795577, -0.12506561, -0.21768135, 0.4720077, -0.1812825, -0.115012884, 0.19736911, -0.22435898, -0.0273096, -0.1684932]"
98,Qwen2.5-Turbo-Instruct,"[-0.7329051, -0.4232171, 0.7362809, 0.8973729, -4.49464, -0.06869376, -0.7945146, -0.07842863, -0.770891, 0.50624526, 0.2789193, -0.364818, 0.06393542, -1.2560972, -1.3514016, 0.4729023, -0.30144206, 0.31646052, -0.31140974, -0.3995365, 1.0347022, -0.25112268, -0.777368, -0.22657278, 2.7328377, 0.12798494, -0.1526044, -0.043825813, 0.33994493, 0.75950736]"
99,Qwen2.5-VL-32B-Instruct,"[-0.8659318, 0.4992427, -0.098331526, -0.5953728, 0.18994844, 0.18034366, -0.9945877, -0.3679912, -2.1207345, 0.5932362, 2.1347308, 0.47099286, 0.29519436, 0.2175067, -0.18024589, 0.05939736, 0.4089948, 0.4323093, 0.16605343, -0.6590044, 1.1396959, 0.08370108, -0.20227562, -0.50869083, 0.6723179, -0.33045164, 0.5696614, -4.649503, -1.1199162, -0.045228437]"
100,Qwen2.5-VL-72B-Instruct,"[-0.8531063, 1.2833107, -0.3174655, -0.12251777, 0.35485366, -0.82802993, 0.24615104, -0.06806216, -2.4153228, 2.8436937, 0.32995155, 0.5135167, 0.83212954, -0.38287392, 0.055415977, 0.6826103, 0.072871946, 0.7456651, 0.30680156, -0.8257712, 0.48777276, 1.5646665, -0.08394311, -1.5237361, 0.9009434, -1.3929542, 0.16368154, -0.41789553, -0.53940356, -0.77915794]"
101,Qwen3-0.6B,"[-2.2293036, 0.1366196, -0.07611933, 0.12268487, 0.15689191, 0.16877435, -14.330468, 0.20975564, -2.5979927, -2.739608, 0.18812643, -0.7838268, 0.29887483, 0.051122196, -0.06600009, -0.24031928, -0.3582995, -0.12179676, -0.12528506, -0.25210288, -0.23840244, -0.41733244, 0.031359956, 0.41943768, -0.062888294, -0.26646417, -0.47422254, -0.09016474, 0.13815296, -0.4189402]"
102,Qwen3-0.6B-Thinking,"[-1.2419277, 0.15553269, 0.2202222, 0.29230374, 0.54563755, 0.087686494, -0.51876354, -0.17032947, -1.4688693, -2.81115, 0.50871396, 2.0945284, 0.6081487, -0.068614155, -0.026473993, -0.32543877, 0.17225769, 0.8501107, -0.25527388, -0.1723043, 5.517663, 0.18779697, -1.1521255, -0.26439324, 0.29290956, -0.034799434, -0.19295067, -0.17205846, -0.51287395, 0.4729066]"
103,Qwen3-1.7B,"[-1.3274823, 0.4241987, -0.07336969, -0.24540311, 0.15921424, 0.03643556, -0.2628773, 0.057768904, -2.1477108, -1.209909, -0.42016098, 0.010648627, -0.028782167, -0.3690006, 0.54956913, -0.07962452, -0.38809386, 0.52566916, -0.2243566, -0.03404558, -0.5193512, 0.34974217, -0.124314, 0.09962982, 0.5308903, -7.952402, -0.14331587, 0.05548303, -0.113808475, 0.15217651]"
104,Qwen3-1.7B-Thinking,"[0.2974021, 1.681389, 0.0057510617, 0.995295, -0.17069484, -0.87546813, 0.5622506, -0.4805235, -0.26546618, -1.3908211, -0.113632105, 0.028359132, 0.45454112, -1.7591285, 0.21013556, 0.7178361, 1.0521294, 2.1810281, 0.11086641, -3.1344872, 0.5233062, 0.3714683, 0.020814413, -0.024499524, 0.8060006, 0.22467698, -0.71403575, -0.366691, 0.15236908, 0.2970322]"
105,Qwen3-14B,"[-0.2095914, -0.13653466, 0.027626533, 15.434291, 0.61302274, 0.5446583, -1.0180725, -0.3038179, -1.0931917, 0.8473434, -0.044620607, 0.4618648, 0.049817745, -0.33388212, 0.49892586, 0.1334104, -0.020631116, 0.046725318, 0.0025556358, 0.10892357, 0.049354564, 0.29331288, 0.43515405, -0.16701068, 0.8310807, -0.38711527, -0.00037387793, -0.03467747, 0.3517091, -0.10100698]"
106,Qwen3-14B-Thinking,"[1.5634061, -0.27703568, -10.304113, 0.55548704, -0.06458472, 0.0053928806, -0.2352072, 0.48136112, 1.2234029, 1.3995099, 0.46939027, -0.099362366, 0.13909031, -0.30022955, -0.19919959, 0.3161015, 0.13830869, 0.56618947, 0.33670354, -0.10244357, -0.05473757, -0.21618219, 0.1816124, -0.124987096, 0.13141525, 0.014090267, -0.2397649, -0.0552231, 0.0002286977, 0.27674216]"
107,Qwen3-235B-A22B,"[1.2215999, -9.112275, 0.41560423, 0.48355156, 0.12486318, 0.458457, 0.5265199, 0.0012941341, -0.20539984, 1.6515574, 0.2966542, -0.25861618, 0.19282189, -0.52493495, 0.13090578, -0.14988536, 0.04386918, 0.56536764, 0.018951908, -0.3108233, 0.016483812, 0.059033427, -0.15591593, -0.17824692, 0.5222478, -0.1370817, -0.37510875, -0.036812246, -0.02645084, -0.116833076]"
108,Qwen3-235B-A22B-Instruct-2507,"[-1.3191787, 0.08109203, 0.27257827, 11.393109, -0.026897734, 0.6651459, 0.042742845, 0.00067760487, 2.1860387, 2.0662806, 0.36486468, -0.47011897, -0.12539239, 1.3022681, 0.65818226, 0.58736706, 0.009454315, 0.7984488, 0.12899378, -0.8075542, 0.928439, 0.24945629, 0.56691515, 0.16007769, 0.366972, -0.015036925, -0.23331445, -0.077979095, 0.15143198, 0.6222341]"
109,Qwen3-235B-A22B-Thinking,"[2.2987492, 0.6545755, -0.2898339, 0.5088801, -0.11843914, 0.36633894, -0.91704845, -0.3394979, 1.4069618, 1.758087, -0.2189547, -0.059796613, -0.3323788, -0.09924351, 0.2498603, 0.38982612, 0.15037204, 0.38519096, -0.08003452, -0.03225642, 0.21664687, -0.056477617, 0.61087453, 0.33535215, -0.7238869, -0.075175196, -0.30294344, -5.3679743, 0.10402489, -0.38572097]"
110,Qwen3-235B-A22B-Thinking-2507,"[-1.010616, -0.4182266, 0.74250424, 0.028562523, 1.0669572, 0.9153771, -0.4014573, -0.044740487, 2.3450904, 2.3904462, -0.6385647, -0.43223867, -0.31444985, 0.7545269, -0.26819062, -2.8350842, 0.91464794, 0.40637174, -0.4545266, -0.31107742, 1.0703092, -0.090708405, -0.25039852, 1.2417649, -0.13165852, 0.27521178, -0.45035654, -0.408917, 0.071186736, -0.72242975]"
111,Qwen3-30B-A3B,"[0.7397985, 0.22812295, -0.09954742, 0.0021625315, 0.16671328, -0.3172462, -0.37979367, -0.22608216, -0.50894463, 0.66488564, 0.1743447, -0.009638533, -0.14203317, -0.48397344, -0.1145844, 10.631232, 0.28445923, 0.82331556, 0.5204242, -0.09325498, -0.05136451, 0.2345995, 0.47671708, 0.010725098, 0.32323587, 0.20390537, 0.083331354, 0.10256318, 0.21031316, -0.4073057]"
112,Qwen3-30B-A3B-Thinking,"[1.4862207, -0.23180786, -0.52609897, 0.3234727, -0.12987515, 0.33468148, -0.69265854, -0.0916179, 1.1350138, 1.5992583, 0.46079788, 0.017657652, 0.04015239, -0.0046719997, 0.15063776, -10.091822, 0.5294829, 0.10223396, -0.015078491, 0.044248596, -0.033384357, -0.23514967, 0.016153341, 0.29471698, 0.22853242, 0.12944579, -0.107286006, -0.06348755, 0.26979956, 0.6894118]"
113,Qwen3-32B,"[0.6369022, 0.102564506, -0.2823922, 0.39803657, 0.08218238, 0.04445037, -0.47050056, -0.105109334, -0.39748767, 1.0772263, 0.002683918, 0.1705581, 0.124402784, -0.35391948, 0.1327147, 0.15350887, 0.14418536, 0.1666674, 0.18607555, -13.751834, 0.07722167, 0.048282873, 0.040615078, 0.10481365, 0.04190896, 0.04457105, -0.11770229, -0.20415497, 0.13522977, 0.14563635]"
114,Qwen3-32B-Thinking,"[1.3920554, 0.119055085, 10.899233, 0.052410677, 0.048709746, 0.09006925, -0.0946752, -0.013476779, 1.1105345, 1.67998, -0.18104233, -0.04613628, 0.15929623, -0.54788333, 0.066043176, 0.10817709, -0.1887217, 0.7131772, 0.21744187, -0.2627095, -0.030315597, 0.10693861, 0.34653318, 0.044940796, -0.24422018, 0.23163669, -0.5095629, 0.040210404, -0.018738255, 0.1588613]"
115,Qwen3-4B,"[-0.36935797, -0.14256823, 0.19548477, 0.46775287, -0.002083599, -0.27973068, 0.23101735, -0.06318091, -1.571419, 0.27457118, -0.19934706, 0.023201866, 0.7919477, -0.05410238, 0.8600701, 0.5623255, -0.3192389, 0.17091236, 0.17656033, -0.04582057, -0.65395314, -0.030519245, -0.116663925, 0.14831226, -0.5180718, 0.056382615, 0.14762546, 0.023370937, -0.20677754, -18.164455]"
116,Qwen3-4B-Thinking,"[1.5142343, 0.45372936, -0.33262458, 0.71601427, -0.23083913, 0.33014086, 0.29834735, -0.62186205, 0.9781579, -0.04460444, 0.27812308, 0.33404186, -0.10969792, -0.23673326, 7.2296553, 0.30149698, 0.30961984, 0.26017746, 0.9883575, -0.09691397, -0.008003998, -0.5830332, 0.77772635, -0.2262047, -0.43416858, -0.030463094, -0.27688128, -0.094637565, -0.21726806, -0.05360928]"
117,Qwen3-8B,"[-0.5662986, 0.027131535, -0.4465591, 0.90291536, 0.2257354, -0.06911672, -0.12899707, 0.27443725, -1.1563174, 1.0701, 0.3779466, -0.7451504, 0.51075006, 0.14776625, -0.074143134, 0.5556414, 0.005331035, 0.35360402, -0.19051637, -0.092055395, -0.42284083, -9.660341, 0.15256168, 0.45609403, 0.0036798823, -0.08036407, -0.39772102, -0.36409622, 0.24931669, 0.39042154]"
118,Qwen3-8B-Thinking,"[1.5670223, 0.29904813, 0.3811639, 0.37319738, -0.9813668, 0.86358553, -0.32825986, -0.4881116, 1.0025879, 1.2940477, -1.1215317, 0.20822977, 0.72946537, 5.9281063, -0.42318165, 0.28154895, -0.18645027, 0.0787875, 0.89892197, -0.2411756, -0.36981466, -0.48891944, 0.43293574, -1.3864686, 0.11603193, -0.79685855, 0.28321397, -0.5009351, 0.9194658, 0.673905]"
119,Qwen3-Next-80B-A3B-Instruct,"[0.10898442, -0.32869637, -0.10402578, 14.899507, -0.18589152, 0.2594248, 1.1990619, 0.68175423, 0.8087413, 1.7959846, 0.24588037, 0.2084118, 0.0714487, -0.13185711, 0.35603952, 0.12668036, 0.17781094, 0.5253831, 0.28900197, -0.09423254, 0.59863, 0.326477, 0.47938508, 0.41205266, -0.035135064, 0.18000625, 0.53766185, 0.036706664, 0.22525957, 0.53606063]"
120,Qwen3-Next-80B-A3B-Thinking,"[-0.018244633, -0.21928559, 0.031862672, 0.61185205, -0.86698085, -0.22482233, -0.6338415, -0.50902146, 2.3011725, 1.4332715, 1.4438696, 0.19890624, 0.53645813, -0.14206986, -0.44823322, -0.8175806, -0.57423264, 0.72524184, -0.70023626, -0.1537025, 0.44899604, 5.7912455, 0.14103486, -1.0663325, 0.11847535, -0.47741887, 0.5645265, 0.79576707, 0.21153924, -0.4439583]"
121,Qwen3-VL-235B-A22B-Instruct,"[-0.22150132, -0.404835, -0.16595629, 0.6913926, 0.7016523, 0.06407706, -0.01916822, -0.032404885, 1.4432188, 1.2730078, 0.31577954, 0.39288187, 0.18188356, 0.021441052, 0.09024577, 13.574397, 0.54840624, 0.31656995, 0.15567595, -0.3577737, 0.5679698, 0.00048287495, -0.31101924, 0.09653976, 0.14495008, 0.044801045, -0.2881929, 0.33791053, -0.32301632, 0.5726531]"
